pmcid,doi,citations,author,author_link,author_h_index,publisher_link,author_citations
PMC7121820,10.1007/978-1-4939-0265-1_11,7,,,0,https://link.springer.com/chapter/10.1007/978-1-4939-0265-1_11,0
PMC7121821,10.1007/978-981-10-0791-0_4,17,C Demetzos,https://scholar.google.com//citations?user=arsUC8EAAAAJ&hl=en&oi=sra,53,https://link.springer.com/chapter/10.1007/978-981-10-0791-0_4,9233
PMC7121823,10.1007/978-3-030-26710-0_80,2,RS Stephens,https://scholar.google.com//citations?user=KspzBGIAAAAJ&hl=en&oi=sra,22,https://link.springer.com/chapter/10.1007/978-3-030-26710-0_80,1659
PMC7121837,10.1007/7081_2009_12,41,,,0,https://link.springer.com/chapter/10.1007/7081_2009_12,0
PMC7121845,10.1007/978-981-10-8291-7_18,0,R Arora,https://scholar.google.com//citations?user=jk4oVQoAAAAJ&hl=sv&oi=sra,36,https://link.springer.com/chapter/10.1007/978-981-10-8291-7_18,5407
PMC7121855,10.1007/978-3-030-21840-9_4,6,,,0,https://link.springer.com/chapter/10.1007/978-3-030-21840-9_4,0
PMC7121868,10.1007/978-3-319-04414-9_93,0,,,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7121868/,0
PMC7121882,10.1007/978-1-4471-6362-6_42,3,,,0,https://link.springer.com/chapter/10.1007/978-1-4471-6362-6_42,0
PMC7121883,10.1007/978-1-60761-147-9_16,0,,,0,https://link.springer.com/chapter/10.1007/978-1-60761-147-9_16,0
PMC7121904,10.1007/978-1-4614-5326-0_8,4,MN Ballinger,https://scholar.google.com//citations?user=0Ed3mPEAAAAJ&hl=pt-BR&oi=sra,27,https://link.springer.com/chapter/10.1007/978-1-4614-5326-0_8,2895
PMC7121907,10.1007/978-3-319-99375-1_80,3,M Rais;T Barr;S Sureshchandra,https://scholar.google.com//citations?user=vwY5su4AAAAJ&hl=en&oe=ASCII&oi=sra;https://scholar.google.com//citations?user=vQzwZOAAAAAJ&hl=en&oe=ASCII&oi=sra;https://scholar.google.com//citations?user=lRmNhkIAAAAJ&hl=en&oe=ASCII&oi=sra,18,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7121907/,997
PMC7121911,10.1007/978-1-4899-7448-8_26,6,JE Crowe;JV Williams,https://scholar.google.com//citations?user=Ey0OIlYAAAAJ&hl=en&oi=sra;https://scholar.google.com//citations?user=Bar0h_8AAAAJ&hl=en&oi=sra,64,https://link.springer.com/chapter/10.1007/978-1-4899-7448-8_26,13698
PMC7121921,10.1007/978-3-319-98122-2_14,13,,,0,https://link.springer.com/chapter/10.1007/978-3-319-98122-2_14?utm_mediu,0
PMC7121922,10.1007/978-1-60761-061-8_24,40,RG Mehta;D Shukla,https://scholar.google.com//citations?user=e6sywZMAAAAJ&hl=en&oi=sra;https://scholar.google.com//citations?user=zpMwGSIAAAAJ&hl=en&oi=sra,57,https://link.springer.com/chapter/10.1007/978-1-60761-061-8_24,22302
PMC7121927,10.1007/978-981-13-3353-8_8,0,,,0,https://link.springer.com/chapter/10.1007/978-981-13-3353-8_8,0
PMC7121932,10.1007/978-94-007-5061-6_24,0,,,0,https://link.springer.com/chapter/10.1007/978-94-007-5061-6_24,0
PMC7121938,10.1007/978-3-319-77032-1_15,1,JD Evans,https://scholar.google.com//citations?user=_TPdmosAAAAJ&hl=de&oi=sra,12,https://link.springer.com/chapter/10.1007/978-3-319-77032-1_15,992
PMC7121946,10.1007/978-1-59745-415-5_5,0,,,0,https://link.springer.com/chapter/10.1007/978-1-59745-415-5_5,0
PMC7121947,10.1007/978-3-319-96499-7_14,6,,,0,https://link.springer.com/chapter/10.1007/978-3-319-96499-7_14,0
PMC7121960,10.1007/978-3-7091-1065-2_43,0,A Gupta,https://scholar.google.com//citations?user=HRlZTBIAAAAJ&hl=en&oi=sra,9,https://link.springer.com/chapter/10.1007/978-3-7091-1065-2_43,369
PMC7121965,10.1007/978-3-319-97873-4_38,2,,,0,https://link.springer.com/chapter/10.1007/978-3-319-97873-4_38,0
PMC7121966,10.1007/978-1-4419-7089-3_7,4,,,0,https://link.springer.com/chapter/10.1007/978-1-4419-7089-3_7,0
PMC7121977,10.1007/978-3-319-74588-6_118,4,RS Stephens,https://scholar.google.com//citations?user=KspzBGIAAAAJ&hl=en&oi=sra,22,https://link.springer.com/content/pdf/10.1007/978-3-319-74588-6_118.pdf,1659
PMC7121984,10.1007/978-3-319-03986-2_1,0,J Amzat,https://scholar.google.com//citations?user=gZB3ZmIAAAAJ&hl=ko&oi=sra,16,https://link.springer.com/chapter/10.1007/978-3-319-03986-2_1,1116
PMC7121988,10.1007/978-1-61779-888-7_11,3,,,0,https://link.springer.com/chapter/10.1007/978-1-61779-888-7_11,0
PMC7122001,10.1007/978-3-7091-1065-2_42,4,,,0,https://link.springer.com/chapter/10.1007/978-3-7091-1065-2_42,0
PMC7122016,10.1007/978-3-662-46789-3_3,0,HT Atmaca,https://scholar.google.com//citations?user=FNROgOwAAAAJ&hl=en&oi=sra,20,https://link.springer.com/chapter/10.1007/978-3-662-46789-3_3,1111
PMC7122021,10.1007/978-3-319-44025-5_22,0,,,0,https://link.springer.com/chapter/10.1007/978-3-319-44025-5_22,0
PMC7122070,10.1007/978-3-319-29830-6_11,3,C Farver;AC Mehta,https://scholar.google.com//citations?user=Wwu1138AAAAJ&hl=de&oe=ASCII&oi=sra;https://scholar.google.com//citations?user=sJwF9oQAAAAJ&hl=de&oe=ASCII&oi=sra,73,https://link.springer.com/chapter/10.1007/978-3-319-29830-6_11,23584
PMC7122073,10.1007/978-3-642-01219-8_50,3,RC Tasker,https://scholar.google.com//citations?user=1VuNGNYAAAAJ&hl=en&oi=sra,58,https://link.springer.com/chapter/10.1007/978-3-642-01219-8_50,16779
PMC7122077,10.1007/978-3-319-74672-2_5,0,,,0,http://repositorio.uta.edu.ec/handle/123456789/33045,0
PMC7122083,10.1007/978-1-62703-047-2_23,5,,,0,https://link.springer.com/chapter/10.1007/978-1-62703-047-2_23,0
PMC7122096,10.1007/978-3-319-74588-6_125,18,JV Divatia;SN Myatra,https://scholar.google.com//citations?user=pURomEoAAAAJ&hl=en&oi=sra;https://scholar.google.com//citations?user=sSIW-_YAAAAJ&hl=en&oi=sra,43,https://link.springer.com/content/pdf/10.1007/978-3-319-74588-6_125.pdf,8463
